User,Rank,Game,Score
alexbeers,9,Marvel Champions: The Card Game,12
alexbeers,10,Food Chain Island,11
alexbeers,11,Unsurmountable,10
alexbeers,12,Wingspan,9
alexbeers,13,Aquamarine,8
alexbeers,14,Cascadia,7
alexbeers,15,Canvas,6
alexbeers,16,Voyages,5
alexbeers,17,Viticulture,4
alexbeers,18,Terra Mystica,3
alexbeers,19,Everdell,2
alexbeers,20,Isle of Cats,1
AlfaGT,1,Pavlov's House,20
AlfaGT,2,Paladins of the West Kingdom,19
AlfaGT,3,Halls of Hegra,18
AlfaGT,4,Terraforming Mars,17
AlfaGT,5,Carnegie,16
AlfaGT,6,Nemo's War,15
AlfaGT,7,Navajo Wars,14
AlfaGT,8,Black Orchestra,13
AlfaGT,9,Dune: Imperium,12
AlfaGT,10,Stilicho: Last of the Romans,11
AlfaGT,11,Gaia Project,10
AlfaGT,12,By Stealth And Sea,9
AlfaGT,13,Lost Ruins of Arnak,8
AlfaGT,14,D-Day at Omaha Beach,7
AlfaGT,15,AuZtralia,6
AlfaGT,16,Shinkansen: Zero Kei,5
AlfaGT,17,Cruel Necessity,4
AlfaGT,18,Mage Knight Board Game,3
AlfaGT,19,War of the Worlds: England,2
AlfaGT,20,SpaceCorp,1
Alfdis,1,Aeon's End,20
Alfdis,2,ISS Vanguard,19
Alfdis,3,Tainted Grail: The Fall of Avalon,18
Alfdis,4,Etherfields,17
Alfdis,5,Sword & Sorcery,16
Alfdis,6,Massive Darkness,15
Alfdis,7,Too Many Bones,14
Alfdis,8,Lord of the Rings: Journeys in Middle Earth,13
Alfdis,9,Mansions of Madness,12
Alfdis,10,Burncycle,11
Alfdis,11,Cloudspire,10
Alfdis,12,Hoplomachus: Victorum,9
Alfdis,13,Descent: Journeys in the Dark (Second Edition),8
Alfdis,14,Gloomhaven,7
Alfdis,15,Anachrony,6
Alfdis,16,Arkham Horror: The Card Game,5
Alfdis,17,Arkham Horror,4
Alfdis,18,Imperium: Classics,3
Alfdis,19,Star Wars: Outer Rim,2
Alfdis,20,Spirit Island,1
allgaeudiver,1,Mage Knight Board Game,20
allgaeudiver,2,Ark Nova,19
allgaeudiver,3,Dune: Imperium,18
allgaeudiver,4,Spirit Island,17
allgaeudiver,5,Fields of Arle,16
allgaeudiver,6,Le Havre,15
allgaeudiver,7,Imperium: Classics,14
allgaeudiver,8,Marvel Champions: The Card Game,13
allgaeudiver,9,Terraforming Mars,12
allgaeudiver,10,Robinson Crusoe: Adventures on the Cursed Island,11
allgaeudiver,11,Legacy of Yu,10
allgaeudiver,12,Grove: A 9 card solitaire game,9
allgaeudiver,13,Lost Ruins of Arnak,8
allgaeudiver,14,Orleans,7
allgaeudiver,15,Finished!,6
allgaeudiver,16,Dawn of the Zeds,5
allgaeudiver,17,Terra Mystica,4
allgaeudiver,18,Viticulture,3
allgaeudiver,19,Brass: Birmingham,2
allgaeudiver,20,Heat: Pedal to the Metal,1
AllLuck0013,1,Mage Knight Board Game,20
AllLuck0013,2,Testament,19
AllLuck0013,3,Arkham Horror: The Card Game,18
AllLuck0013,4,Unicornus Knights,17
AllLuck0013,5,Oathsworn: Into the Deepwood,16
AllLuck0013,6,Tokyo Express,15
AllLuck0013,7,Kradia: Wild Hunt Festival,14
AllLuck0013,8,Legendary: A Marvel Deck Building Game,13
AllLuck0013,9,Bullet♥︎,12
AllLuck0013,10,Mansions of Madness,11
AllLuck0013,11,Pandemic,10
AllLuck0013,12,Ascension: Apprentice Edition,9
AllLuck0013,13,Marvel Champions: The Card Game,8
AllLuck0013,14,Horrified,7
AllLuck0013,15,Marvel United,6
AllLuck0013,16,Regicide,5
AllLuck0013,17,Under Falling Skies,4
AllLuck0013,18,Nemo's War,3
AllLuck0013,19,7th Continent,2
AllLuck0013,20,Spirit Island,1
Alloy1090,1,Spirit Island,20
Alloy1090,3,Legacy of Yu,18
Alloy1090,6,Mythic Mischief,15
Alloy1090,7,Fields of Arle,14
Alloy1090,8,Black Sonata,13
Alloy1090,9,Pavlov's House,12
Alloy1090,10,Legendary Encounters: An Alien Deck Building Game,11
Alloy1090,11,Apex Theropod Deck-Building Game,10
Alloy1090,12,Castellion,9
Alloy1090,13,For Northwood! A Solo Trick-Taking Game,8
Alloy1090,14,Maquis,7
Alloy1090,16,Food Chain Island,5
Alloy1090,17,Ugly Gryphon Inn,4
Alloy1090,19,Warp’s Edge,2
Alloy1090,20,Coffee Roaster,1
Almecho,1,Marvel Champions: The Card Game,20
Almecho,2,Street Masters,19
Almecho,3,Earthborne Rangers,18
Almecho,4,Spirit Island,17
Almecho,5,ROVE: Results-Oriented Versatile Explorer,16
Almecho,6,Spire's End,15
Almecho,7,Dresden Files Cooperative Card Game,14
Almecho,8,Friday,13
Almecho,9,Sprawlopolis,12
Almecho,10,Dawn of the Zeds,11
Almecho,11,Palm Island,10
Almecho,12,Captain Is Dead,9
Almecho,13,Chronicles of Crime,8
AlternativeOwl3433,1,ROVE: Results-Oriented Versatile Explorer,20
AlternativeOwl3433,2,Under Falling Skies,19
AlternativeOwl3433,3,Statis Pro Baseball,18
AlternativeOwl3433,4,Wingspan,17
AlternativeOwl3433,5,Sprawlopolis,16
amg123,1,Aeon Trespass: Odyssey,20
amg123,2,Middara,19
amg123,3,Arena: The Contest,18
amg123,4,Mage Knight Board Game,17
amg123,5,Star Wars: Imperial Assault,16
amg123,6,Assassin's Creed: Brotherhood of Venice,15
amg123,7,Marvel Champions: The Card Game,14
amg123,8,Tainted Grail: The Fall of Avalon,13
amg123,9,Gears of War: The Board Game,12
amg123,10,Fallout,11
Amir_H,1,Arkham Horror: The Card Game,20
Amir_H,2,Cthulhu: Death May Die,19
Amir_H,3,Dune: Imperium,18
Amir_H,4,Robinson Crusoe: Adventures on the Cursed Island,17
Amir_H,5,Warp’s Edge,16
Amir_H,6,Sentinels of the Multiverse,15
Amir_H,7,Final Girl,14
Amir_H,8,Witchcraft!,13
Amir_H,9,Turing Machine,12
Amir_H,10,Sherlock Holmes Consulting Detective,11
